CG_name	Gene	Chromosome	Site
CG10219	SdhD	3R	95B1-95B1
CG10221	Hrd3	3R	95B1-95B1
CG10222	CG10222	3L	70A8-70A8
CG10223	Top2	2L	37E1-37E1
CG10225	RanBP3	3R	95B1-95B1
CG10226	CG10226	3L	65A10-65A10
CG10228	Pcf11	2R	51C5-51C7
CG10229	Kat60	3R	82F6-82F6
CG10230	Rpn9	3R	95B1-95B1
CG10232	CG10232	3R	95B1-95B1
CG10233	rtp	3R	82F6-82F6
CG10234	Hs2st	2L	37E1-37E1
CG10236	LanA	3L	65A8-65A9
CG10237	CG10237	2L	37E1-37E1
CG10238	Mocs2B	3R	96C1-96C1
CG1024	CG1024	3R	83E5-83E5
CG10240	Cyp6a22	2R	51C7-51D1
CG10241	Cyp6a17	2R	51D1-51D1
CG10242	Cyp6a23	2R	51D1-51D1
CG10243	Cyp6a19	2R	51D1-51D1
CG10244	Cad96Ca	3R	96C4-96C5
CG10245	Cyp6a20	2R	51D1-51D1
CG10246	Cyp6a9	2R	51D1-51D1
CG10247	Cyp6a21	2R	51D1-51D1
CG10248	Cyp6a8	2R	51D1-51D1
CG10249	Kank	2R	51D2-51D2
CG10250	nau	3R	95A10-95B1
CG10251	prt	3R	95A8-95A8
CG10252	CG10252	3R	95A7-95A7
CG10253	Agps	2R	51D3-51D3
CG10254	CG10254	3R	95A7-95A7
CG10255	Lap1	2R	51D4-51D4
CG10257	CG10257	2R	51D5-51D5
CG10260	Pi4KIIIalpha	X	3A8-3A8
CG10262	PCNA2	2L	37F2-37F2
CG10263	Hakai	2L	37F2-37F2
CG10264	CG10264	3R	89B1-89B1
CG10265	CG10265	2R	51D7-51D7
CG10267	Zif	3R	83E8-83E8
CG10268	Pmvk	2L	37F2-37F2
CG10269	D19A	3L	65A7-65A7
CG10270	D19B	3L	65A7-65A7
CG10274	CG10274	3L	65A7-65A7
CG10275	kon	2L	36F5-36F5
CG10277	gzl	3R	83E5-83E5
CG10278	GATAe	3R	89A12-89A12
CG10279	Rm62	3R	83D1-83D2
CG1028	Antp	3R	84A6-84B2
CG10280	CG10280	3R	83D2-83D2
CG10281	TfIIFalpha	3R	83E5-83E5
CG10283	CG10283	2L	36F5-36F5
CG10286	CG10286	3R	83E4-83E4
CG10287	Gasp	3R	83D4-83D4
CG10289	fmt	3L	65A7-65A7
CG10293	how	3R	94A1-94A1
CG10295	Pak	3R	83E4-83E4
CG10296	Hr83	3R	83E4-83E4
CG10297	Acp65Aa	3L	65A6-65A6
CG10298	CG10298	3R	83E4-83E4
CG1030	Scr	3R	84A5-84A5
CG10300	CG10300	3R	95A10-95A10
CG10301	CG10301	3R	95A10-95A10
CG10302	bsf	2L	36F5-36F5
CG10303	Osi4	3R	83E1-83E1
CG10305	RpS26	2L	36F4-36F4
CG10306	eIF3k	2R	57F8-57F8
CG10307	CG10307	2R	57F8-57F8
CG10308	CycJ	3L	63E1-63E1
CG10309	pad	3R	89B13-89B13
CG1031	alpha-Est1	3R	84D9-84D9
CG10311	CG10311	3R	89B13-89B13
CG10315	eIF2Bdelta	2R	59D9-59D10
CG10317	CG10317	3R	89B13-89B14
CG10318	NC2alpha	2R	57F7-57F7
CG10320	ND-B12	2R	57F6-57F6
CG10321	CG10321	2R	57F5-57F5
CG10324	CG10324	3R	89D6-89D6
CG10325	abd-A	3R	89E2-89E2
CG10326	Arl6IP1	3R	89D6-89D6
CG10327	TBPH	2R	60A4-60A5
CG10328	nonA-l	3R	89D6-89D6
CG10332	CG10332	2R	59F4-59F4
CG10333	CG10333	2L	36F7-36F7
CG10334	spi	2L	37F2-37F2
CG10335	Pbgs	3L	69A4-69A4
CG10336	CG10336	2L	37A1-37A1
CG10337	CG10337	2L	37F1-37F1
CG10338	CG10338	2L	37A1-37A1
CG10339	CG10339	2R	60B8-60B8
CG1034	bcd	3R	84A5-84A5
CG10340	CG10340	3R	89D5-89D5
CG10341	CG10341	2L	37A1-37A1
CG10342	NPF	3R	89D5-89D5
CG10343	CG10343	2L	37A1-37A1
CG10344	CG10344	2R	58E1-58E1
CG10345	CG10345	3R	89D5-89D5
CG10346	Grip71	2L	37A1-37A1
CG10347	CG10347	X	10F1-10F1
CG10348	CG10348	2L	37A1-37A1
CG10352	CG10352	X	10F2-10F2
CG10353	CG10353	X	10F2-10F4
CG10354	Rat1	2L	27C4-27C4
CG10357	CG10357	3L	63E5-63E5
CG10359	CG10359	3L	63E5-63E5
CG10360	ref(2)P	2L	37F1-37F1
CG10361	CG10361	3L	68E1-68E1
CG10362	CG10362	X	10F7-10F7
CG10363	Tep4	2L	37F1-37F1
CG10364	msb1l	2L	37F2-37F2
CG10365	CG10365	3R	95B1-95B1
CG10366	CG10366	2L	37F2-37F2
CG10367	Hmgcr	3R	95B1-95B1
CG10369	Irk3	2L	37A1-37A1
CG10370	Rpt5	3R	95B1-95B1
CG10371	PTPMT1	3R	95B1-95B1
CG10372	Faf2	2L	37A1-37A1
CG10373	Jwa	2L	37A1-37A1
CG10374	Lsd-1	3R	95B1-95B1
CG10375	CG10375	3R	95B1-95B1
CG10376	CG10376	2L	37A1-37A1
CG10377	Hrb27C	2L	27C4-27C4
CG10379	mbc	3R	95B5-95B7
CG10382	wrapper	2R	58D4-58D4
CG10383	CG10383	2L	37A1-37A1
CG10384	CG10384	2R	58E2-58E2
CG10385	msl-1	2L	36F11-37A1
CG10387	tos	2L	36F11-36F11
CG10388	Ubx	3R	89D6-89D9
CG10390	mia	3R	83B1-83B1
CG10391	Cyp310a1	2L	36F8-36F8
CG10392	sxc	2R	41E4-41E5
CG10393	amos	2L	36F6-36F6
CG10395	CG10395	2R	41E5-41E5
CG10396	COX4L	2R	41E5-41E5
CG10399	Hmgcl	2L	27C7-27C7
CG10405	CG10405	3R	89B17-89B17
CG10406	mRpS33	3R	89B16-89B16
CG10407	CG10407	3R	89B1-89B1
CG1041	CRAT	3R	83E4-83E4
CG10413	CG10413	2L	36F7-36F7
CG10414	Atac2	2L	36F7-36F7
CG10415	TfIIEalpha	3L	68D2-68D2
CG10417	CG10417	2R	41E5-41E5
CG10418	CG10418	3L	69B2-69B2
CG10419	Gem2	3L	75F7-75F7
CG10420	Sil1	3R	96C7-96C7
CG10422	bam	3R	96C7-96C8
CG10423	RpS27	3R	96C8-96C8
CG10424	Naxd	3L	75F7-75F7
CG10425	CG10425	3R	96C8-96C8
CG10426	INPP5E	3L	69A5-69A5
CG10428	CG10428	2L	37B6-37B7
CG10431	CG10431	2L	37B8-37B8
CG10433	CG10433	2R	57F3-57F3
CG10435	CG10435	3R	84E8-84E8
CG10436	Obp69a	3L	69B4-69B4
CG1044	dos	3L	62E7-62E7
CG10440	twz	2R	57F1-57F1
CG10443	Lar	2L	37F2-38A2
CG10444	CG10444	2R	56F11-56F11
CG10445	CG10445	3R	84E5-84E5
CG10446	Sidpn	2L	37B9-37B10
CG10447	Nf-YB	2L	38A2-38A2
CG10449	Catsup	2L	37B11-37B11
CG10459	CG10459	2R	46A1-46A1
CG1046	zen	3R	84A5-84A5
CG10460	cer	2R	56D3-56D3
CG10462	CG10462	2L	38A2-38A2
CG10463	CG10463	2L	38A2-38A2
CG10465	CG10465	2R	41E5-41E5
CG10466	CG10466	2L	38A3-38A3
CG10467	CG10467	3L	65A6-65A6
CG10469	CG10469	3L	65A5-65A6
CG10470	CG10470	2L	37B12-37B12
CG10472	CG10472	3L	65A5-65A5
CG10473	Acn	2L	37B11-37B12
CG10474	CG10474	2R	56C7-56C7
CG10475	Jon65Ai	3L	65A4-65A4
CG10476	AANATL5	2R	56C6-56C6
CG10477	CG10477	3L	65A3-65A3
CG10478	alphaKap4	3L	65A2-65A2
CG10479	CG10479	3L	65A1-65A2
CG1048	zen2	3R	84A5-84A5
CG10480	Rcc1	3L	65A1-65A1
CG10481	CG10481	2L	38A6-38A6
CG10483	CG10483	3L	64F5-64F5
CG10486	CG10486	3L	64F5-64F5
CG10488	eyg	3L	69C2-69C2
CG10489	PolE2	3L	64F4-64F4
CG1049	Pcyt1	3L	62A3-62A5
CG10491	vn	3L	64E12-64F2
CG10492	CG10492	2L	37B12-37B12
CG10493	Phlpp	2L	37B12-37B13
CG10494	CG10494	2R	57E9-57E9
CG10495	CG10495	2L	37B13-37B13
CG10496	TAF1C-like	2R	57E6-57E8
CG10497	Sdc	2R	57E1-57E6
CG10498	Cdk2	3R	92F10-92F10
CG10501	amd	2L	37C1-37C1
CG10504	Ilk	3L	78C2-78C2
CG10505	CG10505	2R	57D7-57D8
CG10506	GlnRS	3R	96C8-96C8
CG10508	CG10508	3L	78C2-78C2
CG10510	CG10510	3L	78C2-78C2
CG10512	CG10512	3L	78C2-78C2
CG10513	CG10513	3R	96C9-96C9
CG10514	CG10514	3R	96C9-96C9
CG10516	CG10516	3L	72C1-72C1
CG10520	tub	3R	82A5-82A5
CG10521	NetB	X	12F2-12F3
CG10522	sti	3L	69C4-69C4
CG10523	park	3L	78C2-78C2
CG10527	CG10527	2R	57B16-57B16
CG10528	fs(2)ltoPP43	2L	38A3-38A3
CG10529	Lcp65Ae	3L	65A6-65A6
CG10530	Lcp65Ag1	3L	65A6-65A6
CG10531	Cht9	2R	57B16-57B16
CG10533	Lcp65Af	3L	65A6-65A6
CG10534	Lcp65Ag2	3L	65A6-65A6
CG10535	Elp1	3R	86E13-86E13
CG10537	Rdl	3L	67A1-67A1
CG10538	CdGAPr	2L	38A3-38A3
CG10539	S6k	3L	64E8-64E11
CG10540	cpa	2R	57B16-57B16
CG10541	Tektin-C	3L	64E8-64E8
CG10542	Bre1	3L	64E8-64E8
CG10543	CG10543	2R	57B5-57B5
CG10545	Gbeta13F	X	13F16-13F16
CG10546	Cralbp	3L	64E8-64E8
CG10550	CG10550	3R	96D1-96D1
CG10553	CG10553	3R	96D1-96D1
CG10555	CG10555	X	7E6-7E6
CG10559	CG10559	3R	96D1-96D1
CG1056	5-HT2A	3R	82C3-82C4
CG10560	CG10560	3R	96D1-96D1
CG10561	CG10561	2L	37C1-37C1
CG10562	CG10562	3R	96D1-96D1
CG10563	l(2)37Cd	2L	37C1-37C1
CG10564	Ac78C	3L	78B3-78C1
CG10565	CG10565	3L	78B2-78B2
CG10566	ICA69	3L	78B2-78B2
CG1057	MED31	3R	82C5-82C5
CG10570	CG10570	2L	37A4-37A4
CG10571	ara	3L	69C8-69C10
CG10572	Cdk8	3L	67C10-67C10
CG10573	ko	3L	78B1-78B2
CG10574	I-2	3L	67C10-67C10
CG10575	Ppat-Dpck	3L	64E7-64E7
CG10576	CG10576	3L	64E6-64E6
CG10578	DnaJ-1	3L	64E5-64E5
CG10579	Eip63E	3L	63E3-63E5
CG1058	rpk	3R	82C5-82C5
CG10580	fng	3L	78A1-78A1
CG10581	CG10581	3L	78A5-78A5
CG10582	Polr3E	3L	78A5-78A5
CG10583	Sse	3L	64E1-64E1
CG10584	CG10584	3L	78A2-78A5
CG10585	Pdss2	3L	78A2-78A2
CG10586	Sems	3L	78A1-78A1
CG10587	CG10587	3L	78A1-78A1
CG10588	CG10588	3L	78A1-78A1
CG10589	CG10589	3L	78A1-78A1
CG1059	Karybeta3	3R	82C5-82C5
CG10590	TM9SF3	3L	64D5-64D6
CG10591	CG10591	3L	64D5-64D5
CG10592	Alp10	3L	64D5-64D5
CG10593	Acer	2L	29D4-29D4
CG10594	spo	3L	64D5-64D5
CG10596	Msr-110	3L	64D3-64D3
CG10597	CG10597	X	15F4-15F4
CG10598	CG10598	X	15F4-15F4
CG10600	CG10600	2L	37B1-37B1
CG10601	mirr	3L	69D3-69D4
CG10602	CG10602	2L	37B1-37B1
CG10603	mRpL13	2L	37B1-37B1
CG10604	bsh	2L	38A3-38A3
CG10605	caup	3L	69D1-69D1
CG10609	Orco	3R	83A2-83A2
CG10610	ECSIT	3R	83C5-83C5
CG10612	Or83a	3R	83A1-83A1
CG10616	CG10616	3L	69C2-69C2
CG10617	Syt12	X	11F1-11F1
CG10618	CHKov1	3R	96D1-96D1
CG10619	tup	2L	37B1-37B1
CG10620	Tsf2	3L	69C4-69C5
CG10621	CG10621	2L	37B7-37B7
CG10622	ScsbetaG	3L	64D3-64D3
CG10623	CG10623	2L	37B7-37B7
CG10624	sinu	3L	64D3-64D3
CG10625	frm	3L	64D3-64D3
CG10626	Lkr	3L	64D2-64D2
CG10627	nst	3L	69C4-69C4
CG10628	CG10628	2L	38A2-38A2
CG1063	Itpr	3R	83A7-83B1
CG10630	blanks	3L	64D2-64D2
CG10631	CG10631	2L	38A2-38A2
CG10632	sowah	3L	69C6-69C8
CG10633	Ir64a	3L	64C15-64C15
CG10635	Pfdn4	3L	64C13-64C14
CG10637	Nak	2L	37B7-37B7
CG10638	CG10638	3L	69C3-69C4
CG10639	L2HGDH	2L	37B8-37B8
CG1064	Snr1	3R	83A4-83A4
CG10640	Uev1A	3L	64C13-64C13
CG10641	Swip-1	2L	37B8-37B8
CG10642	Klp64D	3L	64C13-64C13
CG10645	lama	3L	64C12-64C13
CG10646	CG10646	3L	69C4-69C4
CG10648	Rbm13	X	8B7-8B7
CG1065	Scsalpha1	3L	63F1-63F1
CG10650	CG10650	2L	37B8-37B8
CG10651	CG10651	2L	38C2-38C2
CG10652	RpL30	2L	37B9-37B9
CG10653	hook	2L	37B10-37B10
CG10654	CG10654	3L	69C4-69C4
CG10655	l(2)37Bb	2L	37B12-37B12
CG10657	CG10657	3L	69C3-69C3
CG10658	Hf	2L	38A8-38A8
CG10659	AANATL3	2L	38B1-38B1
CG10660	CG10660	3L	69C2-69C3
CG10663	CG10663	3L	69C2-69C2
CG10664	COX4	2L	38A8-38A8
CG10667	Orc1	2R	43D1-43D2
CG10669	CG10669	3R	96D1-96D1
CG10670	Gen	3L	64C7-64C7
CG10671	Fitm	3L	64C7-64C7
CG10672	Dhrs4	3L	64C7-64C7
CG10673	Tcs5	3L	64C7-64C7
CG10674	CG10674	3L	64C7-64C7
CG10675	CHKov2	3R	96D1-96D1
CG10679	Nedd8	2L	37B7-37B7
CG10680	CG10680	2L	38A8-38A8
CG10681	CG10681	3L	69C4-69C4
CG10682	vih	3L	69C4-69C4
CG10683	rhi	2R	54D2-54D2
CG10685	Polr1D	2L	37C1-37C1
CG10686	tral	3L	69C4-69C4
CG10687	AsnRS	2L	37C1-37C1
CG10688	Pmm2	3L	69C6-69C6
CG10689	l(2)37Cb	2L	37C1-37C1
CG10691	l(2)37Cc	2L	37C1-37C1
CG10692	Mt2	2L	33C4-33C4
CG10693	slo	3R	96A14-96A17
CG10694	CG10694	3R	95E1-95E1
CG10695	Pat1	X	6C1-6C1
CG10697	Ddc	2L	37C1-37C1
CG10698	CrzR	3L	69B2-69B2
CG10699	Lim3	2L	37B13-37C1
CG1070	Alh	3R	84B6-84C3
CG10700	CG10700	2L	37B13-37B13
CG10701	Moe	X	8B4-8B6
CG10702	CG10702	2L	37B13-37B13
CG10703	GCC88	3R	86D8-86D8
CG10704	toe	3L	69C1-69C1
CG10706	SK	X	4F5-4F9
CG1071	E2f2	2L	39A5-39A6
CG10710	CG10710	3L	70B4-70B4
CG10711	Vps36	3L	70B4-70B4
CG10712	Chro	3L	80B1-80B2
CG10713	CG10713	3L	70B1-70B1
CG10717	ImpL1	3L	70A7-70A7
CG10718	neb	2L	38B3-38B5
CG10719	brat	2L	37C1-37C6
CG1072	Awh	3L	63F4-63F4
CG10721	Pyroxd1	2L	38B6-38B6
CG10722	nesd	2L	38B6-38B6
CG10723	Kua	2L	38C1-38C1
CG10724	flr	3L	70A8-70B1
CG10725	CG10725	3L	70B1-70B1
CG10726	barr	2L	38B1-38B2
CG10728	vls	2L	38B2-38B2
CG10730	CG10730	2L	38B2-38B2
CG10731	CG10731	2R	52E11-52E11
CG10732	cmb	3L	70B1-70B1
CG10733	loj	3L	65A6-65A6
CG10734	CG10734	2R	52F1-52F1
CG10737	CG10737	2R	56C1-56C1
CG10738	CG10738	3L	70B1-70B1
CG10739	pigeon	2L	37C7-37C7
CG1074	CG1074	3R	82B1-82B1
CG10741	Tgi	3L	70B2-70B3
CG10742	Tsp3A	X	3A7-3A7
CG10743	Liprin-beta	3L	70B4-70B4
CG10747	CG10747	2L	38B5-38B5
CG10748	CG10748	3L	69F2-69F2
CG10749	CG10749	3L	69F2-69F2
CG10750	CG10750	2L	37D2-37D2
CG10751	robl	2R	54B16-54B16
CG10752	CG10752	3L	69F2-69F2
CG10753	SmD1	3L	69D6-69D6
CG10754	Sf3a2	3L	69E4-69E4
CG10755	Cyp4ae1	X	2E1-2E1
CG10756	Taf13	2L	38B6-38B6
CG10757	mRpS18B	2L	38B6-38B6
CG10759	Or7a	X	7D17-7D17
CG1076	Vha14-2	3R	83D4-83D4
CG10761	CG10761	X	7D17-7D17
CG10763	Gbeta5	X	7D16-7D16
CG10764	CG10764	2R	54B16-54B16
CG1077	CG1077	3R	83D5-83D5
CG10772	Fur1	3R	96D2-96E1
CG10776	wit	3L	64A5-64A5
CG10777	mahe	X	7C3-7C4
CG10778	Dhdds	X	7C4-7C4
CG1078	Fip1	3R	82B3-82B4
CG10781	ng1	X	3C10-3C10
CG10788	ng3	X	3C10-3C10
CG10789	ng4	X	3C10-3C10
CG1079	Fie	3L	63F5-63F5
CG10790	Pig1	X	3C10-3C10
CG10793	CG10793	X	3D1-3D1
CG10794	DptB	2R	55F8-55F8
CG10795	bisc	2R	57E1-57E1
CG10798	Myc	X	3D2-3D2
CG10799	CG10799	2R	49F13-49F13
CG10800	Rca1	2L	27C1-27C1
CG10801	CG10801	X	3D4-3D4
CG10802	CG10802	X	3D4-3D4
CG10803	CG10803	X	3D4-3D4
CG10804	CG10804	X	3D4-3D4
CG10805	l(2)k09022	2L	27C1-27C1
CG10806	Nha1	2L	27C1-27C1
CG10808	Syngr	2R	50C6-50C6
CG10809	CG10809	3L	67C11-67C11
CG1081	Rheb	3R	83B2-83B2
CG10810	Drs	3L	63D2-63D2
CG10811	eIF4G1	4	102C5-102C5
CG10812	Drsl5	3L	63D1-63D1
CG10814	CG10814	2R	50A3-50A3
CG10816	Dro	2R	51C1-51C1
CG1082	alpha-Est4	3R	84D9-84D9
CG10822	CG10822	2R	56E5-56E5
CG10823	SIFaR	3R	93D2-93D4
CG10824	cDIP	3R	93C2-93C2
CG10825	Ice2	3R	93C1-93C1
CG10827	Alp5	3R	93B3-93B3
CG10830	Ktl	3R	93A2-93A2
CG10833	Cyp28d1	2L	25C10-25C10
CG10834	CG10834	2L	40E3-40E3
CG10837	eIF4B	3L	""
CG10838	robl22E	2L	22D6-22D6
CG10839	CG10839	2L	35E1-35E1
CG1084	Cont	3R	82A5-82A5
CG10840	eIF5B	3L	63E1-63E1
CG10841	CG10841	3R	87F5-87F5
CG10842	Cyp4p1	2R	45B7-45B7
CG10843	Cyp4p3	2R	45B7-45B7
CG10844	RyR	2R	44F1-44F2
CG10845	CG10845	3R	96B4-96B5
CG10846	DCTN5-p25	2L	35B8-35B8
CG10847	enc	3L	63F1-63F3
CG10849	Sc2	3L	63F5-63F6
CG10850	ida	3L	63F6-63F6
CG10851	B52	3R	87F7-87F7
CG10852	Acp63F	3L	63F1-63F1
CG10853	CG10853	3L	64A1-64A1
CG10855	ntc	3L	63F1-63F1
CG10858	ppk27	3L	63E9-63E9
CG10859	CG10859	2L	34B10-34B10
CG10861	Atg12	3L	68F5-68F5
CG10862	CG10862	3L	63E6-63E6
CG10863	CG10863	3L	64A1-64A1
CG10864	CG10864	3R	91A6-91A6
CG10866	CG10866	3L	64A1-64A1
CG10868	orb	3R	94E9-94E9
CG10869	nis	2L	22A3-22A3
CG10874	CG10874	2L	22D1-22D1
CG10877	CG10877	3R	92F1-92F2
CG1088	Vha26	3R	83B4-83B4
CG10880	daed	2L	22D4-22D4
CG10881	eIF3g2	3R	92E8-92E8
CG10882	Sec24CD	2L	22D4-22D5
CG10887	CG10887	3R	92D1-92D1
CG10888	Rh3	3R	92C5-92C5
CG10889	Regnase-1	3R	92C1-92C2
CG1089	alpha-Est5	3R	84D9-84D9
CG10890	mus201	2L	29C4-29C5
CG10895	lok	2L	38B2-38B2
CG10897	tou	2R	48A2-48A3
CG10898	CG10898	3R	86E10-86E10
CG10899	CAH4	3R	96B1-96B1
CG1090	CG1090	3R	82A4-82A4
CG10901	osk	3R	85B7-85B7
CG10903	CG10903	3R	84E9-84E9
CG10904	CG10904	2R	60A14-60A14
CG10907	CG10907	3L	68D6-68D6
CG10908	Der-1	2L	22B8-22B8
CG10909	CG10909	3R	87D4-87D4
CG1091	Tailor	3R	84B2-84B2
CG10910	CG10910	2R	55B1-55B1
CG10911	CG10911	2R	55B2-55B2
CG10912	CG10912	2R	55B2-55B2
CG10913	Spn55B	2R	55B7-55B7
CG10914	CG10914	2R	55B9-55B9
CG10915	Naus	2R	55B9-55B10
CG10916	CG10916	2R	55B11-55B12
CG10917	fj	2R	55C1-55C1
